N,P,K,temperature,humidity,ph,rainfall,label,state,district,season,irrigation,water_availability,soil_type
119,132,71,16.46,57.29,9.35,118.1,groundnut,Maharashtra,Nagpur,summer,river,medium,saline
111,101,199,24.24,34.7,7.69,297.15,millet,Punjab,Jalandhar,summer,canal,low,red
29,18,31,34.4,62.96,7.63,260.94,tomato,Tamil Nadu,Chennai,winter,rainfed,medium,peaty
118,130,166,20.84,42.9,9.39,196.42,brinjal,Karnataka,Mysuru,monsoon,river,high,peaty
129,133,158,20.93,33.04,7.8,198.42,sunflower,Bihar,Gaya,winter,groundwater,medium,desert
108,13,113,22.74,64.21,7.57,69.74,groundnut,Andhra Pradesh,Vijayawada,monsoon,rainfed,low,black
125,67,13,17.09,83.2,7.11,263.19,mustard,Gujarat,Ahmedabad,winter,groundwater,low,alluvial
50,27,195,20.14,34.21,6.04,201.39,brinjal,Uttar Pradesh,Kanpur,summer,drip,high,peaty
8,59,31,31.94,80.74,4.92,81.74,chilli,Punjab,Jalandhar,monsoon,canal,medium,red
52,21,148,31.55,83.75,7.31,106.2,rice,Bihar,Patna,winter,drip,medium,desert
107,70,109,16.4,83.55,8.36,50.83,barley,Bihar,Patna,monsoon,drip,high,saline
50,50,107,19.22,37.96,7.26,225.12,sugarcane,Uttar Pradesh,Varanasi,winter,sprinkler,high,black
59,10,145,24.03,51.04,8.34,134.81,millet,Punjab,Ludhiana,summer,groundwater,medium,black
106,56,114,22.32,57.66,5.0,52.83,sunflower,Punjab,Amritsar,winter,sprinkler,medium,laterite
61,127,193,20.86,98.69,8.23,143.35,barley,Gujarat,Rajkot,winter,drip,medium,saline
93,28,14,32.64,32.64,6.43,199.04,onion,Andhra Pradesh,Visakhapatnam,winter,river,low,laterite
117,134,164,17.3,91.03,8.57,295.34,sunflower,Andhra Pradesh,Visakhapatnam,monsoon,well,high,black
5,78,29,22.34,96.02,7.21,259.78,barley,Bihar,Bhagalpur,summer,rainfed,low,red
67,139,183,29.16,62.28,6.13,276.89,sunflower,Uttar Pradesh,Kanpur,summer,canal,low,mountain
94,97,134,32.99,43.98,8.07,238.43,sugarcane,Karnataka,Hubli,summer,groundwater,medium,mountain
45,34,40,26.25,93.27,8.3,285.34,rice,Bihar,Patna,winter,rainfed,high,red
66,100,109,25.42,64.23,5.77,233.42,soybean,Gujarat,Ahmedabad,winter,well,low,laterite
0,109,196,23.44,70.29,7.78,190.32,tomato,Punjab,Ludhiana,winter,sprinkler,low,desert
124,12,68,19.3,73.8,4.66,199.3,chilli,Rajasthan,Jodhpur,monsoon,canal,low,saline
4,32,186,35.29,97.67,9.15,257.97,wheat,Karnataka,Bengaluru,summer,river,low,red
40,13,9,29.83,85.74,4.73,80.82,tomato,Rajasthan,Jodhpur,summer,rainfed,low,red
98,5,29,35.53,55.83,8.04,156.94,groundnut,Karnataka,Hubli,summer,sprinkler,low,alluvial
67,84,89,33.7,57.61,8.84,254.08,tomato,Karnataka,Bengaluru,summer,groundwater,medium,laterite
89,131,62,22.93,79.76,6.51,71.02,sunflower,Andhra Pradesh,Guntur,summer,drip,medium,laterite
30,11,17,31.62,88.53,8.09,139.4,cotton,Gujarat,Ahmedabad,summer,river,medium,laterite
36,28,156,28.32,77.58,7.52,81.44,sugarcane,Rajasthan,Jaipur,winter,drip,low,desert
87,49,10,32.9,61.86,4.73,142.8,maize,Tamil Nadu,Coimbatore,monsoon,sprinkler,low,laterite
121,86,138,29.01,76.2,9.26,139.81,barley,Maharashtra,Nagpur,summer,canal,low,peaty
47,35,22,37.33,86.74,8.45,200.15,brinjal,Maharashtra,Nagpur,monsoon,groundwater,high,mountain
62,50,52,30.47,65.55,7.79,72.33,brinjal,Karnataka,Mysuru,summer,groundwater,low,laterite
71,133,134,16.41,94.57,7.44,249.96,sugarcane,Tamil Nadu,Madurai,summer,sprinkler,high,desert
139,93,9,17.7,83.33,5.86,93.22,onion,Gujarat,Surat,summer,river,medium,peaty
118,27,177,21.97,41.22,7.65,68.75,groundnut,West Bengal,Howrah,summer,drip,medium,peaty
52,108,187,23.51,45.85,8.94,51.99,soybean,Punjab,Amritsar,summer,rainfed,low,alluvial
1,104,18,30.68,74.01,5.65,121.33,barley,Bihar,Patna,summer,canal,high,laterite
3,55,117,15.65,59.94,9.35,132.09,rice,Rajasthan,Jodhpur,winter,well,medium,saline
69,81,58,32.71,85.23,8.81,211.85,sugarcane,Karnataka,Mysuru,winter,well,high,alluvial
87,144,37,18.5,43.61,7.08,163.44,wheat,Tamil Nadu,Coimbatore,summer,drip,high,peaty
58,96,164,26.62,49.36,8.37,79.02,chilli,Maharashtra,Nashik,winter,canal,low,saline
88,127,84,39.79,41.78,7.63,165.16,sugarcane,Tamil Nadu,Coimbatore,winter,well,low,alluvial
114,29,129,25.53,73.12,6.98,225.86,sugarcane,Rajasthan,Jaipur,winter,canal,medium,black
7,77,168,18.77,91.29,5.48,91.51,sunflower,Karnataka,Hubli,summer,well,medium,mountain
4,73,79,34.41,94.99,9.06,213.16,sunflower,Rajasthan,Udaipur,winter,sprinkler,medium,black
40,67,74,38.18,70.24,9.43,241.78,sunflower,Karnataka,Bengaluru,monsoon,drip,low,black
30,87,168,39.11,92.52,8.04,188.19,cotton,Maharashtra,Nashik,monsoon,drip,low,desert
34,129,180,19.31,49.37,8.12,175.3,cotton,Maharashtra,Nagpur,winter,drip,low,red
42,96,10,30.77,94.5,7.55,179.87,soybean,Punjab,Amritsar,winter,rainfed,medium,saline
49,122,170,15.62,50.39,6.93,116.66,chilli,Rajasthan,Udaipur,monsoon,river,high,black
23,85,113,30.97,60.89,5.94,166.18,groundnut,Gujarat,Surat,summer,well,low,saline
20,26,196,25.16,97.69,4.88,214.11,sugarcane,Uttar Pradesh,Varanasi,winter,canal,low,desert
97,25,196,18.06,62.22,6.13,175.79,mustard,Gujarat,Surat,winter,river,low,black
2,124,16,30.38,39.71,7.97,270.43,millet,Tamil Nadu,Coimbatore,monsoon,drip,high,mountain
51,30,23,38.5,61.18,8.13,131.48,cotton,Rajasthan,Jodhpur,winter,drip,high,peaty
33,64,66,28.42,48.77,9.49,277.97,chilli,Bihar,Gaya,summer,groundwater,low,saline
59,40,50,28.26,80.37,6.29,66.09,sunflower,Rajasthan,Jaipur,winter,drip,high,black
95,52,195,19.62,35.09,5.01,252.96,maize,West Bengal,Darjeeling,monsoon,well,high,peaty
137,10,115,28.03,74.34,5.07,88.68,barley,Tamil Nadu,Coimbatore,monsoon,sprinkler,medium,peaty
61,82,112,31.26,78.01,9.36,57.35,cotton,West Bengal,Howrah,summer,drip,high,desert
25,35,13,27.24,63.13,5.97,223.04,chilli,West Bengal,Darjeeling,monsoon,sprinkler,low,alluvial
13,41,6,33.85,74.89,9.17,88.91,barley,Uttar Pradesh,Varanasi,winter,well,medium,peaty
11,127,179,37.86,70.14,7.68,59.81,groundnut,Bihar,Gaya,winter,river,low,black
114,99,74,26.81,37.54,7.48,276.68,tomato,Bihar,Patna,summer,drip,medium,red
82,19,60,16.3,54.28,8.68,112.27,sugarcane,Rajasthan,Jodhpur,monsoon,sprinkler,high,black
3,64,174,31.5,71.83,8.82,286.35,potato,Bihar,Bhagalpur,summer,river,high,black
58,38,70,39.12,82.61,8.5,133.3,millet,Andhra Pradesh,Visakhapatnam,summer,well,low,peaty
97,54,157,15.45,39.51,8.36,62.88,barley,Karnataka,Hubli,summer,river,low,red
53,16,23,22.36,34.44,7.33,262.35,groundnut,Andhra Pradesh,Vijayawada,winter,rainfed,low,laterite
54,91,9,33.66,77.78,9.32,51.03,barley,Gujarat,Rajkot,monsoon,canal,high,peaty
8,82,79,21.83,37.31,6.0,204.62,cotton,Gujarat,Rajkot,monsoon,rainfed,high,saline
19,82,202,36.44,79.25,5.18,225.99,mustard,Gujarat,Ahmedabad,winter,groundwater,low,saline
8,52,89,37.09,31.0,8.29,72.7,millet,Karnataka,Hubli,monsoon,river,medium,desert
99,89,166,21.49,49.77,8.24,151.54,mustard,West Bengal,Kolkata,summer,river,low,mountain
126,77,117,37.09,98.98,9.44,146.33,sunflower,Bihar,Patna,winter,sprinkler,low,peaty
35,136,99,18.9,98.29,5.64,145.35,cotton,Karnataka,Hubli,summer,rainfed,high,alluvial
19,118,47,20.93,76.77,7.27,226.39,millet,Bihar,Bhagalpur,summer,groundwater,high,saline
64,139,111,31.38,50.21,8.34,110.84,chilli,Bihar,Bhagalpur,summer,rainfed,medium,saline
4,95,70,20.41,54.77,7.12,253.61,cotton,Punjab,Jalandhar,winter,sprinkler,medium,black
15,69,23,35.8,53.51,8.79,237.41,millet,West Bengal,Kolkata,summer,well,low,black
82,19,97,29.36,50.86,8.24,107.51,potato,Punjab,Amritsar,monsoon,well,low,desert
30,136,47,15.64,96.05,5.46,130.43,potato,Maharashtra,Pune,monsoon,well,high,desert
85,145,94,32.72,46.23,5.09,128.21,chilli,Tamil Nadu,Coimbatore,winter,sprinkler,medium,mountain
85,48,20,31.06,66.37,4.91,179.18,soybean,Bihar,Bhagalpur,winter,well,low,saline
50,94,117,15.24,69.68,5.78,286.57,tomato,Karnataka,Hubli,summer,canal,medium,peaty
124,143,160,33.93,78.55,7.69,157.84,chilli,Rajasthan,Jaipur,winter,groundwater,high,peaty
6,41,89,31.66,39.11,8.54,272.29,barley,Bihar,Patna,winter,rainfed,high,peaty
118,28,74,31.12,47.85,6.95,221.34,sugarcane,Rajasthan,Jaipur,summer,rainfed,medium,red
74,127,26,30.64,64.8,7.39,96.94,maize,Maharashtra,Nagpur,summer,sprinkler,low,alluvial
139,83,64,17.63,88.8,6.04,211.56,tomato,Andhra Pradesh,Guntur,monsoon,canal,medium,black
137,61,128,16.05,34.34,9.48,116.87,barley,West Bengal,Darjeeling,winter,well,high,alluvial
25,74,19,34.74,78.72,6.87,293.52,maize,Punjab,Ludhiana,monsoon,drip,medium,saline
92,74,130,19.83,61.14,5.01,52.02,cotton,Maharashtra,Nagpur,summer,drip,high,laterite
131,58,68,21.77,41.23,6.17,267.65,soybean,Maharashtra,Nashik,monsoon,groundwater,high,alluvial
27,99,67,21.09,77.24,7.86,295.79,barley,Bihar,Patna,summer,canal,low,mountain
94,94,104,19.66,64.65,6.24,253.84,wheat,Gujarat,Rajkot,winter,well,medium,red
51,143,51,22.56,51.77,6.57,197.91,mustard,Uttar Pradesh,Kanpur,winter,drip,medium,black
44,80,108,26.68,87.0,6.75,152.67,sugarcane,West Bengal,Kolkata,monsoon,well,low,black
51,75,203,24.18,46.1,9.24,204.03,groundnut,Rajasthan,Udaipur,winter,well,low,peaty
69,62,108,33.96,72.16,7.41,80.9,soybean,Gujarat,Rajkot,monsoon,canal,high,desert
64,38,203,38.53,77.84,9.19,102.32,sunflower,Tamil Nadu,Chennai,winter,canal,medium,red
30,61,81,35.35,94.84,6.25,83.98,groundnut,Punjab,Ludhiana,summer,sprinkler,high,laterite
53,123,99,23.13,38.33,5.32,267.41,maize,West Bengal,Howrah,summer,canal,medium,mountain
5,133,165,34.49,53.77,9.28,122.12,sunflower,West Bengal,Kolkata,summer,river,low,alluvial
59,49,92,23.05,59.73,9.12,140.17,chilli,Karnataka,Mysuru,monsoon,drip,medium,saline
1,95,169,31.77,69.41,6.15,175.61,chilli,Bihar,Patna,monsoon,canal,medium,black
38,119,45,15.15,43.24,6.7,169.97,millet,Karnataka,Mysuru,monsoon,river,high,mountain
17,40,7,15.84,88.54,8.14,286.67,soybean,Punjab,Amritsar,summer,groundwater,low,black
36,45,197,15.0,47.87,7.73,285.03,mustard,Uttar Pradesh,Varanasi,summer,well,medium,saline
139,134,84,25.87,74.06,6.3,231.41,potato,Punjab,Amritsar,summer,drip,medium,laterite
95,127,130,33.96,95.45,5.08,173.08,millet,Bihar,Gaya,summer,groundwater,medium,laterite
24,145,50,17.69,81.79,7.34,94.76,chilli,Rajasthan,Jodhpur,winter,river,low,peaty
38,42,131,37.13,70.9,7.7,105.5,millet,Punjab,Amritsar,monsoon,drip,high,peaty
96,133,61,22.66,33.43,5.99,176.34,barley,Tamil Nadu,Coimbatore,winter,groundwater,medium,alluvial
18,144,113,28.26,76.9,4.97,55.65,potato,West Bengal,Darjeeling,summer,rainfed,low,red
62,119,55,31.87,69.72,7.57,156.6,mustard,Uttar Pradesh,Kanpur,summer,drip,medium,red
48,78,107,20.91,47.75,5.14,266.87,potato,Punjab,Jalandhar,summer,river,low,mountain
58,24,48,32.62,62.19,8.9,257.14,cotton,Karnataka,Hubli,summer,drip,medium,laterite
109,63,126,18.53,95.74,5.08,96.54,sugarcane,Bihar,Bhagalpur,winter,canal,low,saline
85,83,195,32.25,97.69,6.39,284.54,sunflower,Andhra Pradesh,Visakhapatnam,monsoon,groundwater,high,laterite
63,9,52,27.19,93.74,8.92,225.61,tomato,Uttar Pradesh,Lucknow,monsoon,sprinkler,low,laterite
93,20,172,25.69,72.15,4.81,185.83,groundnut,West Bengal,Howrah,monsoon,canal,high,alluvial
84,88,98,18.76,79.34,9.17,231.19,groundnut,Gujarat,Surat,winter,rainfed,medium,mountain
87,82,26,16.84,89.15,7.56,94.56,brinjal,Bihar,Gaya,summer,river,high,black
53,120,28,31.27,91.79,6.92,132.87,wheat,Andhra Pradesh,Visakhapatnam,summer,sprinkler,medium,desert
137,72,107,15.91,89.56,7.72,195.95,barley,Rajasthan,Jodhpur,summer,groundwater,high,peaty
56,133,59,37.1,88.04,7.03,145.51,brinjal,Andhra Pradesh,Vijayawada,summer,canal,medium,desert
120,73,85,28.99,50.0,7.43,158.17,soybean,Karnataka,Mysuru,summer,groundwater,medium,black
74,120,54,29.54,42.8,7.43,68.93,sugarcane,Punjab,Amritsar,summer,rainfed,low,peaty
23,56,80,36.49,78.94,9.21,277.43,wheat,Uttar Pradesh,Lucknow,summer,river,low,saline
11,114,86,15.87,47.65,7.17,86.51,sunflower,Uttar Pradesh,Kanpur,winter,canal,high,alluvial
63,108,147,26.15,65.53,8.93,84.11,millet,West Bengal,Darjeeling,monsoon,drip,medium,alluvial
133,81,125,39.61,75.71,9.09,134.23,brinjal,Andhra Pradesh,Vijayawada,summer,river,medium,saline
59,73,166,22.51,83.71,6.18,286.12,brinjal,Karnataka,Hubli,winter,groundwater,high,peaty
1,5,124,23.76,61.95,5.0,258.49,brinjal,Karnataka,Bengaluru,monsoon,groundwater,high,alluvial
103,85,184,38.94,45.54,8.95,221.93,rice,Maharashtra,Pune,monsoon,river,high,saline
129,32,127,18.8,33.97,8.79,230.96,chilli,Punjab,Amritsar,winter,groundwater,high,laterite
52,37,17,28.6,70.81,5.18,253.5,cotton,Tamil Nadu,Chennai,winter,canal,low,laterite
128,112,163,30.48,65.76,8.08,66.18,barley,Karnataka,Mysuru,summer,canal,high,mountain
94,18,147,38.26,99.79,8.86,115.32,brinjal,Gujarat,Rajkot,monsoon,well,low,desert
122,121,181,19.81,67.69,6.02,127.07,wheat,Rajasthan,Jodhpur,monsoon,rainfed,medium,desert
132,18,36,35.68,68.68,7.62,284.85,maize,Gujarat,Surat,winter,rainfed,low,red
20,104,118,32.25,83.92,7.43,147.84,mustard,West Bengal,Darjeeling,monsoon,sprinkler,low,peaty
138,72,52,39.14,50.99,6.36,136.09,brinjal,Maharashtra,Pune,summer,rainfed,low,desert
31,75,168,39.03,39.11,9.28,133.22,rice,West Bengal,Howrah,winter,drip,medium,laterite
11,113,51,30.03,80.09,6.86,210.73,onion,Rajasthan,Jaipur,summer,well,medium,desert
118,93,170,22.85,58.43,4.94,210.3,soybean,Tamil Nadu,Coimbatore,monsoon,drip,high,desert
122,106,8,20.28,81.04,6.31,291.82,sugarcane,Maharashtra,Pune,monsoon,river,low,peaty
138,17,171,16.22,56.05,4.9,212.37,rice,West Bengal,Howrah,summer,sprinkler,medium,mountain
28,9,115,31.88,36.21,5.2,243.26,groundnut,Andhra Pradesh,Vijayawada,summer,well,low,black
40,77,133,36.44,72.78,5.95,174.19,groundnut,Gujarat,Rajkot,summer,sprinkler,medium,mountain
56,60,130,20.96,50.37,8.4,171.31,soybean,Tamil Nadu,Madurai,winter,drip,low,mountain
90,42,8,31.24,90.58,7.89,169.58,onion,Rajasthan,Udaipur,winter,drip,low,mountain
43,49,64,22.45,57.64,9.28,54.14,barley,Karnataka,Mysuru,winter,well,medium,peaty
125,94,184,24.94,73.94,9.35,160.95,groundnut,West Bengal,Darjeeling,summer,rainfed,low,alluvial
105,107,35,34.93,98.19,7.93,101.86,brinjal,Maharashtra,Nashik,winter,drip,high,black
16,38,188,30.02,53.28,4.54,259.47,onion,Maharashtra,Pune,summer,rainfed,low,laterite
66,71,133,36.81,33.95,7.9,248.05,wheat,Bihar,Bhagalpur,summer,well,medium,desert
127,36,32,34.46,72.18,5.08,224.57,brinjal,Maharashtra,Pune,winter,river,high,peaty
17,91,118,31.19,68.37,6.39,83.61,sunflower,Tamil Nadu,Chennai,summer,drip,high,red
20,116,127,23.03,86.67,6.88,70.15,millet,Andhra Pradesh,Guntur,monsoon,groundwater,high,desert
84,67,69,21.75,50.6,5.39,158.35,millet,Rajasthan,Jodhpur,monsoon,canal,low,red
131,14,195,31.05,34.61,8.31,193.42,groundnut,Maharashtra,Nashik,winter,groundwater,medium,black
116,117,31,27.28,88.3,7.91,273.08,mustard,Punjab,Amritsar,winter,river,high,peaty
7,28,31,29.59,73.42,7.62,259.18,sunflower,Punjab,Ludhiana,winter,canal,low,mountain
75,93,13,16.43,52.15,9.34,255.09,mustard,Gujarat,Rajkot,monsoon,rainfed,low,alluvial
102,49,136,28.38,86.84,5.17,109.15,tomato,Gujarat,Rajkot,monsoon,sprinkler,low,red
57,33,5,18.48,53.76,8.41,115.53,groundnut,Uttar Pradesh,Kanpur,summer,drip,high,peaty
3,137,196,17.48,92.07,7.23,225.03,maize,Karnataka,Hubli,monsoon,canal,low,black
46,103,154,35.74,73.87,6.03,105.94,millet,Andhra Pradesh,Vijayawada,monsoon,rainfed,medium,mountain
139,91,167,20.97,64.84,9.42,168.68,tomato,Bihar,Patna,summer,river,high,saline
110,32,138,17.33,72.44,8.97,161.35,sunflower,Tamil Nadu,Coimbatore,monsoon,well,medium,peaty
74,73,174,26.91,98.72,6.12,148.1,maize,Bihar,Gaya,summer,drip,high,alluvial
96,45,50,28.21,80.61,6.12,278.12,mustard,West Bengal,Darjeeling,summer,canal,low,desert
47,100,42,31.13,35.04,6.64,147.4,maize,Karnataka,Mysuru,monsoon,rainfed,medium,saline
126,13,117,15.87,71.79,8.19,192.46,maize,Andhra Pradesh,Vijayawada,winter,canal,low,peaty
47,28,140,22.88,97.09,6.47,249.69,sugarcane,West Bengal,Darjeeling,summer,drip,high,peaty
121,71,7,34.26,56.34,6.41,225.37,cotton,Andhra Pradesh,Visakhapatnam,winter,river,medium,peaty
73,108,67,16.59,65.93,7.89,276.46,tomato,Punjab,Amritsar,summer,rainfed,low,peaty
86,88,98,37.51,47.45,9.22,66.52,sugarcane,Andhra Pradesh,Visakhapatnam,winter,rainfed,high,red
139,58,176,26.03,99.73,7.96,222.41,potato,Tamil Nadu,Coimbatore,summer,canal,low,mountain
13,88,131,34.57,35.53,8.86,293.25,maize,Gujarat,Surat,winter,canal,high,red
136,25,129,16.52,58.08,6.51,255.79,millet,Gujarat,Surat,summer,river,low,peaty
99,93,94,30.23,70.42,7.16,288.69,millet,Punjab,Jalandhar,summer,well,high,peaty
88,50,161,15.29,83.91,7.99,144.57,tomato,Uttar Pradesh,Varanasi,monsoon,groundwater,medium,black
116,60,76,36.03,87.08,6.52,97.43,cotton,Bihar,Patna,monsoon,drip,low,laterite
102,140,154,19.67,63.62,5.92,82.17,sunflower,Karnataka,Bengaluru,winter,drip,low,black
79,119,167,33.28,37.27,9.39,153.56,onion,Rajasthan,Udaipur,winter,river,high,mountain
41,134,191,18.3,86.22,6.0,61.24,rice,West Bengal,Howrah,winter,river,low,alluvial
12,5,31,34.18,68.95,8.52,187.72,soybean,West Bengal,Darjeeling,winter,river,high,red
48,6,24,20.59,76.57,5.93,92.81,brinjal,Tamil Nadu,Coimbatore,winter,rainfed,high,saline
25,95,56,30.35,77.46,4.57,219.64,sugarcane,Maharashtra,Nagpur,summer,rainfed,low,alluvial
69,75,182,39.98,39.29,8.45,268.53,cotton,Rajasthan,Jaipur,summer,canal,low,saline
30,98,63,34.12,81.67,7.49,181.32,millet,Bihar,Patna,winter,rainfed,medium,saline
27,33,129,26.15,65.3,7.41,198.7,tomato,Gujarat,Ahmedabad,winter,rainfed,high,laterite
20,43,148,17.64,71.77,7.3,131.97,chilli,Maharashtra,Pune,summer,river,medium,saline
115,15,185,30.78,46.13,7.98,205.46,chilli,Andhra Pradesh,Visakhapatnam,summer,groundwater,low,desert
30,102,137,24.77,53.1,4.94,130.48,rice,Maharashtra,Nagpur,summer,rainfed,high,peaty
75,138,175,35.59,93.47,8.65,276.6,soybean,Karnataka,Mysuru,winter,sprinkler,low,mountain
29,5,138,20.98,38.57,7.37,125.83,rice,West Bengal,Howrah,monsoon,river,low,desert
32,52,77,33.92,65.98,7.13,82.47,brinjal,Rajasthan,Jaipur,monsoon,canal,high,black
30,111,138,26.17,81.42,6.41,54.65,groundnut,Gujarat,Ahmedabad,monsoon,canal,high,peaty
69,70,52,22.3,55.28,8.88,202.74,groundnut,Tamil Nadu,Coimbatore,monsoon,sprinkler,medium,black
37,18,12,22.42,65.85,6.72,250.83,soybean,Uttar Pradesh,Lucknow,winter,canal,high,alluvial
27,80,111,32.91,87.8,6.66,195.3,sunflower,West Bengal,Howrah,monsoon,drip,high,laterite
18,127,39,34.1,30.32,8.92,60.58,cotton,Rajasthan,Jodhpur,winter,canal,low,peaty
38,83,14,15.29,65.71,7.6,246.6,potato,Gujarat,Rajkot,monsoon,groundwater,high,mountain
91,7,134,30.29,43.95,7.67,112.79,maize,Punjab,Jalandhar,winter,rainfed,low,black
93,112,60,35.27,34.84,7.24,256.06,tomato,Karnataka,Bengaluru,winter,rainfed,high,saline
88,97,94,23.21,85.84,5.76,83.66,barley,Gujarat,Rajkot,summer,drip,low,saline
79,128,145,27.19,40.94,5.57,150.01,chilli,Rajasthan,Jodhpur,summer,well,low,saline
95,32,110,28.86,99.22,4.84,264.65,sunflower,Rajasthan,Jaipur,summer,groundwater,low,peaty
128,46,178,16.38,58.21,7.69,98.05,wheat,West Bengal,Kolkata,winter,well,high,red
74,98,20,29.84,82.86,6.81,269.6,wheat,Bihar,Gaya,winter,rainfed,low,laterite
65,36,163,38.82,76.49,8.69,129.73,groundnut,Karnataka,Hubli,summer,river,high,desert
126,104,184,19.65,49.36,7.03,166.4,barley,Punjab,Jalandhar,summer,well,medium,alluvial
58,97,144,31.9,59.22,5.35,159.97,cotton,Tamil Nadu,Madurai,summer,sprinkler,high,laterite
33,57,171,35.52,94.72,8.37,277.66,tomato,Maharashtra,Pune,summer,rainfed,low,desert
85,5,191,34.03,41.4,7.57,176.05,onion,Karnataka,Bengaluru,monsoon,groundwater,low,alluvial
137,99,127,27.65,79.23,9.09,177.02,onion,Gujarat,Ahmedabad,monsoon,river,medium,red
121,27,140,29.0,98.75,5.92,192.83,tomato,Tamil Nadu,Chennai,monsoon,groundwater,low,alluvial
80,61,180,31.12,38.18,7.56,237.58,groundnut,Tamil Nadu,Coimbatore,summer,canal,low,mountain
48,24,142,16.91,52.8,6.14,284.13,rice,Gujarat,Rajkot,monsoon,river,medium,mountain
59,12,17,35.51,31.37,9.47,242.76,onion,Tamil Nadu,Madurai,monsoon,river,high,laterite
135,86,71,27.67,89.75,5.03,221.61,onion,Uttar Pradesh,Varanasi,monsoon,groundwater,low,saline
84,76,91,23.54,39.42,5.21,84.32,soybean,Uttar Pradesh,Lucknow,winter,rainfed,medium,black
125,102,35,17.6,31.71,7.73,237.08,cotton,Andhra Pradesh,Visakhapatnam,summer,rainfed,low,black
54,71,86,22.81,40.06,8.89,111.39,chilli,Tamil Nadu,Madurai,monsoon,canal,low,desert
12,94,188,15.67,45.67,8.39,272.74,sunflower,Andhra Pradesh,Guntur,monsoon,drip,low,black
74,112,132,37.72,72.88,6.7,244.47,millet,Punjab,Ludhiana,winter,rainfed,high,laterite
9,119,150,28.24,63.06,8.81,127.07,brinjal,Punjab,Ludhiana,monsoon,drip,medium,peaty
47,102,137,34.89,64.82,9.13,296.05,brinjal,Bihar,Bhagalpur,summer,drip,low,saline
102,61,67,30.07,59.47,5.27,186.33,soybean,Punjab,Jalandhar,summer,river,low,alluvial
13,19,93,21.23,32.71,7.99,129.25,tomato,Karnataka,Bengaluru,winter,groundwater,high,black
88,141,23,19.07,81.97,6.49,224.49,groundnut,Karnataka,Bengaluru,winter,groundwater,high,saline
92,96,144,27.14,97.31,5.52,138.98,cotton,West Bengal,Darjeeling,monsoon,drip,low,peaty
18,98,72,37.63,37.08,7.59,230.75,millet,Andhra Pradesh,Vijayawada,monsoon,groundwater,high,black
120,32,27,17.61,52.74,7.47,185.0,sugarcane,Karnataka,Hubli,monsoon,rainfed,low,saline
24,135,48,16.63,75.95,8.3,242.53,tomato,Uttar Pradesh,Lucknow,winter,rainfed,low,laterite
22,122,192,20.89,57.93,7.08,237.67,groundnut,Bihar,Bhagalpur,winter,well,medium,red
125,68,80,35.46,74.26,8.84,152.39,soybean,Tamil Nadu,Chennai,monsoon,sprinkler,high,laterite
78,103,81,22.22,96.12,6.81,272.64,sunflower,Rajasthan,Jodhpur,summer,canal,high,mountain
40,43,150,15.73,37.39,4.94,131.88,chilli,Punjab,Jalandhar,winter,well,high,alluvial
20,89,150,19.15,54.44,9.29,95.92,chilli,Karnataka,Bengaluru,monsoon,sprinkler,high,black
97,79,83,27.85,78.63,7.34,255.21,cotton,Bihar,Patna,winter,sprinkler,high,red
72,39,21,29.68,54.31,5.29,270.73,mustard,Rajasthan,Jodhpur,winter,canal,medium,mountain
95,30,60,32.37,38.7,9.13,241.0,chilli,West Bengal,Darjeeling,monsoon,well,low,mountain
140,89,39,20.82,54.38,5.85,140.57,maize,Tamil Nadu,Chennai,summer,well,high,red
71,89,18,36.77,92.26,5.9,60.18,sunflower,Bihar,Patna,summer,river,medium,black
26,18,154,29.56,76.83,5.0,136.23,sunflower,Karnataka,Hubli,winter,groundwater,medium,peaty
12,14,172,24.51,67.37,5.69,145.14,millet,Punjab,Jalandhar,summer,well,low,red
65,139,106,36.71,88.74,8.98,77.69,wheat,Tamil Nadu,Coimbatore,summer,rainfed,low,black
67,103,175,19.76,86.97,9.38,114.37,chilli,Gujarat,Rajkot,summer,drip,high,peaty
125,35,136,28.34,93.65,5.68,145.58,chilli,Tamil Nadu,Coimbatore,winter,drip,medium,saline
20,139,37,18.95,58.4,9.11,94.07,mustard,Rajasthan,Jodhpur,winter,sprinkler,high,peaty
0,133,114,32.91,86.65,8.47,291.16,tomato,Tamil Nadu,Coimbatore,winter,drip,high,red
47,141,37,20.29,79.02,6.72,56.45,soybean,Tamil Nadu,Chennai,monsoon,drip,low,black
25,92,23,31.81,65.21,7.17,281.29,mustard,Tamil Nadu,Chennai,monsoon,groundwater,high,desert
20,43,185,16.94,90.39,8.53,259.93,rice,Punjab,Amritsar,winter,well,medium,mountain
37,119,122,18.4,89.98,7.78,200.42,potato,Gujarat,Ahmedabad,winter,canal,high,red
66,133,82,37.9,72.6,5.68,252.23,tomato,Maharashtra,Nagpur,monsoon,well,high,peaty
46,17,35,38.21,85.15,8.39,65.54,brinjal,Karnataka,Bengaluru,winter,sprinkler,high,desert
12,134,32,33.95,61.8,5.89,105.95,wheat,Karnataka,Mysuru,monsoon,sprinkler,medium,black
28,33,8,36.33,90.34,7.79,74.53,chilli,Tamil Nadu,Madurai,summer,canal,high,laterite
1,93,194,36.39,72.28,8.3,254.14,mustard,Tamil Nadu,Chennai,monsoon,sprinkler,high,alluvial
